datePublication, originPublication,textPublication,disInformationStatus,wordSentences
22.11.2022,oroszhirek.hu,"Recurring pro-Kremlin disinformation narratives about false flag operations. Such claims are a part of a broader pro-Kremlin disinformation campaign accompanying the full scale Russian invasion of Ukraine, trying to place the blame on Ukraine.Ukrainian military intelligence said on the 21st of October that Russia had conducted the main mining works of the dam back in April 2022, but warned that the floodgates and supports of the dam were further primed the previous week. Two military vehicles full of explosives were placed on the road that crosses the dam, the agency added.The 30 metre-high dam, which holds back 18m cubic metres of water, straddles the Dnipro River upstream from Russian-held Kherson and is about 20 miles from advancing Ukrainian forces hoping to recapture both it and the occupied city.Ukraine’s president, Volodymyr Zelenskyy, has accused Russia of plotting to blow up the two-mile Nova Kakhovka dam in the south of the country, warning its destruction would cause “a large-scale disaster” affecting towns and cities.According to Ukrainian Military Intelligence Chief Kyrylo Budanov Russia will slow Ukrainian troops' advance in the south by two weeks if it blows up the vast Kakhovka dam, but such a move would flood territory occupied by Moscow's forces and lose it a vital water source for annexed Crimea.Blowing up the dam would also ""destroy the possibility of the existence of the Zaporizhzhia nuclear power plant because this facility is inextricably linked to it"".The nuclear plant, Europe's largest, has been occupied by Russian forces for months and is located near the reservoir.On the 11th of November the Russian retreated from Kherson. Russians had to openly announce their withdrawal as they could not hold the city any longer, as their troops (about 30,000 in that area) could not deter the Ukrainian offensive for a long time. Significant new damage to the major Nova Kakhovka dam in southern Ukraine can be seen following Russia's withdrawal from nearby Kherson city, U.S. satellite imagery company Maxar said on Friday 11 November.Read similar cases claiming that West needs provocations to accuse the Russian military of using chemical, biological or nuclear weapons in Ukraine, Ukrainian militants are shelling the nuclear station in Zaporizhzhia and that Ukraine wants to blow up the Kakhovka dam to block water supply to Crimea.",Real,Russia retreated from Kherson because Ukraine wanted to blow up the Kakhovka dam
22.11.2022,fr.news-front.info,"Recurrent narrative depicting the West and Ukrainians as organisers of famine and Russia as the saviour of the people.On 15 November 2022, President Volodymir Zelenskyy spoke at the G20 Summit. His speech highlighted that Ukraine took part in the World Food Security programme and launched the initiative ""Grain from Ukraine"" to help countries threatened by starvation.“Ukraine can export 45 million tons of food this year. And let a significant part of it be directed to those who suffer the most.”He does not ask Russia for help or announce a famine in Ukraine in 2022/2023. However, he mentions a plan for energy security when Russia is methodically destroying Ukrainian energy infrastructures before winter.One can “witness what the Russian terror is aimed at now. This is an attempt to turn the cold into a weapon. A weapon against millions of people. »Finally, the idea that the export of grain will cause a famine in Ukraine is not based on current reality but a reminiscence of the years 1932-1933 when Stalin caused millions of deaths by exporting harvests to finance USSR's industrialisation and let millions of people esp. in Ukraine die of starvation.Read also related cases: Kyiv and the West are causing hunger in the world, Russia does not allow Kyiv to organise Holodomor in Ukraine, and Washington seeks its money back arranging a famine in Ukraine.",Real,The West and Zelenskyy cause famine in Ukraine and beg Russia for help
22.11.2022,"tsargrad.tv, osnmedia.ru","This is a recurring disinformation narrative from pro-Kremlin outlets trying sow distrust in European authorities (narrative 'Elite vs the people') and to downplay Europe’s efforts to cut down on energy use. This claim was made in the context of Russia’s war of aggression against Ukraine.EU High Representative Josep Borrell did not make such a statement. It originates from a political satire Telegram channel @lastoppo which openly states in its info section that it exclusively posts satirical content and false information.This important aspect has been omitted when the text was picked up by other pro-Kremlin Telegram-channel incl. by main Kremlin propagandist Vladimir Solovyov’s @SolovievLive attributing these words to Borrell.Like other disinformation and manipulation tactics, it takes things out of context or spins off inventing postulates.Last year, Borrell said that we must be ready to safe energy and turn our heating down by 2 degrees.Russia’s unjustified military aggression against Ukraine and its weaponisation of gas supplies caused a sharp rise in energy prices. The EU is taking strong action to address this.Multiple governments around Europe have called on their citizens to turn down heating to reduce gas dependency on Russia. See for example here and here.",Real,Borrell: it is time for Europeans to freeze to death for the sake of democratic ideals
22.11.2022,RIA,"False pro-Kremlin narrative. In reality, the Dutch court found that, since April 2014, there had been an armed conflict between the Ukrainian army and separatist formations, controlled by Russia, reports Dutch Courts´ website Rechtspraak.""One of these groups fought under the name of the Donetsk People's Republic (DPR). Many indications suggest that since mid-May 2014, the DPR has been effectively controlled by the Russian Federation. As a result, the Russian Federation became so involved in the conflict with Ukraine that it became an international conflict. In an international conflict, the use of weapons may be permitted under certain circumstances. Soldiers from belligerent countries may invoke immunity (combatant immunity) and not be prosecuted. But because the Russian Federation and the suspects deny Russian involvement to this day, the DNR fighters cannot be seen as part of the Russian military. In this case, they cannot be granted immunity from prosecution"", summarises Rechtspraak. The Dutch Court of The Hague sentenced three suspects to life imprisonment for their involvement in the downing of flight MH17 on 17 July 2014, which led to the tragic loss of 298 lives. Suspects have been tried in absentia. PACE President Tiny Kox has made the following statement: ""The Hague District Court in the Netherlands has just ruled on the State responsibility of the Russian Federation under the European Convention on Human Rights and other international conventions concerning the downing over Eastern Ukraine, on 17 July 2014, of Malaysia Airlines flight MH17, which was en route from Amsterdam to Kuala Lumpur"". On the 24th of May 2018, the Joint Investigation Team (JIT) announced its conclusion that the BUK TELAR used to shoot down MH17 came from the 53rd Anti-Aircraft Missile Brigade, a unit of the Russian armed forces from Kursk in the Russian Federation. Pro-Kremlin media advanced many mutually exclusive conspiracy theories on the downing of MH17 and many of them referred to a Spanish dispatcher named Carlos who saw a Ukrainian attack aircraft which hit MH17. The dispatcher existed only on Twitter, later his account turned into Lyudmila Lopatyshkina, as The Insider found out. See also Catch Carlos if you can for more details.",Real,Dutch court recognised the conflict in Donbas in 2014 as non-international
21.11.2022,baltnews.com,"Recurring narrative of disinformation presenting Poland, the Baltic states, and Ukraine as puppets of the US, a baseless claimed already widely addressed on EUvsDisinfo.On 15 November 2020, an S-300 missile entered Polish airspace from the territory of Ukraine, killing two Polish civilians. According to the US and Polish officials, the missile was fired by the Ukrainian air defence troops, which tried to fight a large-scale Russian missile attack taking place on the same day.According to the statement of Polish President Andrzej Duda, this situation is an “unfortunate accident” which is a result of a massive Russian missile attack on Ukraine. According to Nato, “Russia bears ultimate responsibility as it continues its illegal war against Ukraine”.At the same time, the Polish authorities and NATO representatives underline that this missile accident was not a deliberate attack on Poland and “there are no indications that Russia is preparing offensive military actions against NATO”.See also the case of disinformation stating that Ukraine wants to draw NATO into the conflict through the provocation in Poland.",Real,The US did not support the accusations against Russia about the missile incident in Poland
21.11.2022,"pressbee.news, rtarabic.com, arabic.rt.com, alkalimaonline.com, Khabar Masr, sanaanews.net, nabd.com","This message is a part of the Kremlin’s narrative about the Russophobic and anti-Russian West. Pro-Kremlin outlets regularly accuse the authorities of Western countries of Russophobia.This claim was made in connection with the recent missile accident in Poland. On 15 November 2020, an S-300 missile entered Polish airspace from the territory of Ukraine, killing two Polish civilians. According to the US and Polish officials, the missile was fired by the Ukrainian air defence troops, which tried to fight a large-scale Russian missile attack taking place on the same day. According to the statement of Polish President Andrzej Duda, this situation is an “unfortunate accident” which is a result of a massive Russian missile attack on Ukraine. According to Nato, “Russia bears ultimate responsibility as it continues its illegal war against Ukraine”.At the same time, the Polish authorities and NATO representatives underline that this missile accident was not a deliberate attack on Poland and “there are no indications that Russia is preparing offensive military actions against NATO”.",Real,Missiles that fell on Poland are Ukrainian but the West blames Russia anyway
20.11.2022,"nabd.com, arabic.rt.com, rtarabic.com","Recurrent pro-Kremlin disinformation about downing of flight MH17 and attempt to discredit the Joint Investigative Team (JIT) and the criminal trial.The verdict of the court published on 17 November 2022 was based on strong pieces of evidence and alternative scenarios were evaluated excluded based on the evidence.The Court in its ruling stated that there is no doubt that the MH17 was hit by a Buk missile fired from a farm field near Pervomaiskyi in Ukraine. This field was located in separatist-controlled territory. ""This is clear from photographs of a smoke trail in the sky, statements by a protected witness, satellite images, intercepted telephone conversations and transmission mast data, photographs and videos of a Buk TELAR being brought in and removed, and examination of fragments in the remains of a crew member and in the truss and the groove of the aircraft. Investigation in the Netherlands and abroad has not revealed any traces of evidence tampering. Alternative scenarios, for example that the Buk missile was fired from a different area, are ruled out based on the evidence,"" stated in the final verdict.EU HRVP Josep Borrell called the verdict ""an important first step on the path of truth and accountability."" He also stressed that the ""EU reiterates its call on Russia to accept its responsibility in this tragedy and cooperate fully with the ongoing investigations.""See here and here for further debunking by Bellingcat and Polygraph.info, respectively and our interview with the Dutch Safety Board, tasked with investigating the cause of the crash of MH17.Read more disinformation cases about the downing of the flight MH17.",Real,Many weaknesses in the MH17 verdict because Russian experts were excluded
18.11.2022,lantidiplomatico.it,"Recurrent pro-Kremlin disinformation narrative on the downing of flight MH17 over Ukraine, aiming to discredit the criminal trial and the Joint Investigation Team (JIT).Russia denies its responsibility for shooting down Malaysia Airlines flight MH17 over Donbas on 17 July 2014 and blames Ukraine.In reality, the Joint Investigation Team (JIT) has come up with enough evidence of direct Russian involvement in shooting down this civilian plane. The JIT announced in September 2016 that the plane was shot down by a missile from the BUK 9M38 series, which was launched by a BUK TELAR missile system. In May 2018, the JIT announced its conclusion that the missile which shot down the plane came from Russia’s 53rd Anti-Aircraft Missile Brigade. It is stationed in the Kursk Region bordering Ukraine.On 17 November 2022, the Dutch court ruled against four suspects in the downing of Malaysian Airlines Flight MH17. The Court sentenced three suspects to life imprisonment for their involvement in the downing of flight MH17, which led to the tragic loss of 298 lives. Suspects have been tried in absentia.Read here the full statement of High Representative Josep Borrell on the Malaysian Airlines Flight MH17 court ruling. The timing of the ruling has nothing to do with the missile incident in Poland, which happened on 15 November 2022.On November 15, Russian armed forces launched yet another missile barrage against civilian infrastructure across Ukraine. The timing of the Russian strikes was particularly cynical, as the two-day G20 Bali summit had just kicked off with the Russian invasion of Ukraine and potential avenues to end the war as agenda items.As Russian missiles rained down on Kyiv and elsewhere in Ukraine – some missiles reached their targets, most being intercepted by Ukrainian air defences – something exploded in the Polish village of Przewodów, killing two Polish citizens.Regardless of the final outcome of the still ongoing official Polish investigation, one fact is clear. Two Polish citizens lost their lives because of Russia’s continuing military aggression against Ukraine and their reckless missile strike campaign against civilians and civilian infrastructure in Ukraine.Read also our article on the missile incident in Poland.Read also related stories: JIT excluded Russia from MH17 probe, ignored Moscow-supplied evidence, No evidence for Russian involvement in MH17, JIT excluded Russia from MH17 probe, ignored Russian evidence.",Real,Dutch court ruling on the downing of MH17 is timed as a distraction
18.11.2022,"fr.sputniknews.africa, sputniknews.com","Recurrent pro-Kremlin disinformation about downing of flight MH17 and attempt to confuse the public with multiple false claims, to discredit the Joint Investigative Team (JIT) and sow distrust in the verdict of the trial.The verdict of the court published on 17 November 2022 was based on strong pieces of evidence and alternative scenarios were evaluated but excluded based on the evidence.Russia data, namely radar data and the ""field experiment"" conducted by the Russian military company Almaz-Antey is only a small sample of misleading claims advanced by Moscow about the downing of MH17, some of which have contradicted one another.The data provided by Moscow, in the words of the Dutch Public Prosecution Service, ""offered contradictory results"":After years of requests, the Russian Federation finally provided primary radar data. Assessment of these data in July 2014 and September 2016 by the Russian authorities offered contradictory results. Data of a second radar system in Buturinskaya, which - according to the Russian July 2014 assessment - recorded MH17 shortly before it was downed, have not been provided. In February 2020 the Russian authorities informed us that these data were not retained. We do not think further investigation could offer any new radar data or additional opinions on the existing data.See here and here for further debunking by Bellingcat and Polygraph.info, respectively and our interview with the Dutch Safety Board, tasked with investigating the cause of the crash of MH17.Read also related cases: Ukraine guilty of downing MH17 flight, The Netherlands is complicit in the MH17 downing, No evidence for Russian involvement in MH17, JIT excluded Russia from MH17 probe, ignored Moscow-supplied evidence",Real,Kyiv and the West shot down flight MH17 in attempt to kill Putin or discredit Russia
18.11.2022,asd.news,"Recurrent pro-Kremlin disinformation about downing of flight MH17 and attempt to discredit the Joint Investigative Team (JIT) and the criminal trial.The verdict of the court published on 17 November 2022 was based on strong pieces of evidence and alternative scenarios were excluded based on the evidence.The Court in its ruling stated that there is no doubt that the MH17 was hit by a Buk missile fired from a farm field near Pervomaiskyi in Ukraine. This field was located in separatist-controlled territory. ""This is clear from photographs of a smoke trail in the sky, statements by a protected witness, satellite images, intercepted telephone conversations and transmission mast data, photographs and videos of a Buk TELAR being brought in and removed, and examination of fragments in the remains of a crew member and in the truss and the groove of the aircraft. Investigation in the Netherlands and abroad has not revealed any traces of evidence tampering. Alternative scenarios, for example that the Buk missile was fired from a different area, are ruled out based on the evidence,"" stated in the final verdict.EU HRVP Josep Borrell called the verdict ""an important first step on the path of truth and accountability."" He also stressed that the ""EU reiterates its call on Russia to accept its responsibility in this tragedy and cooperate fully with the ongoing investigations.""See here and here for further debunking by Bellingcat and Polygraph.info, respectively and our interview with the Dutch Safety Board, tasked with investigating the cause of the crash of MH17.Read more disinformation cases about the downing of the flight MH17.",Real,MH17 court decision is absurd: Ukraine shot down the plane on purpose
